--- Report words in books/frankenstein.txt ---

7263 unique words found in file.

'cheese' was found 3 times.
'chemical' was found 6 times.
'chemist' was found 1 times.
'chemistry' was found 5 times.
'chemists' was found 1 times.
'chene' was found 1 times.
'cherish' was found 1 times.
'cherished' was found 3 times.
'cherub' was found 1 times.
'chief' was found 6 times.
'chiefly' was found 5 times.
'child' was found 35 times.
'childhood' was found 5 times.
'childish' was found 4 times.
'childless' was found 1 times.
'children' was found 19 times.
'chill' was found 3 times.
'chilled' was found 2 times.
'chilly' was found 1 times.
'chimera' was found 1 times.
'chimeras' was found 1 times.
'chimerical' was found 1 times.
'chimney' was found 2 times.
'chink' was found 2 times.
'chinks' was found 1 times.
'chivalrous' was found 1 times.
'chivalry' was found 2 times.
'choice' was found 3 times.
'choicest' was found 1 times.
'choked' was found 1 times.
'choose' was found 2 times.
'chord' was found 2 times.
'chosen' was found 6 times.
'christian' was found 3 times.
'christianity' was found 1 times.
'christy' was found 2 times.
'church' was found 1 times.
'churchyard' was found 1 times.
'circle' was found 2 times.
'circulates' was found 1 times.
'circumstance' was found 10 times.
'circumstances' was found 14 times.
'circumstantial' was found 2 times.
'citadel' was found 1 times.
'city' was found 13 times.
'civilized' was found 1 times.
'clad' was found 1 times.
'claim' was found 9 times.
'claimed' was found 1 times.
'claims' was found 1 times.
'clapped' was found 2 times.
'clapping' was found 1 times.
'clasp' was found 1 times.
'clasped' was found 1 times.
'clasping' was found 2 times.
'class' was found 1 times.
'classes' was found 1 times.
'classifications' was found 1 times.
'clay' was found 1 times.
'clean' was found 2 times.
'cleaning' was found 1 times.
'clear' was found 11 times.
'cleared' was found 3 times.
'clearly' was found 3 times.
'clearness' was found 1 times.
'clemency' was found 1 times.
'clerval' was found 59 times.
'clever' was found 1 times.
'cliffs' was found 1 times.
'climate' was found 2 times.
'climbing' was found 1 times.
'climes' was found 1 times.
'cling' was found 3 times.
'clinging' was found 1 times.
'clings' was found 3 times.
'cloak' was found 3 times.
'clock' was found 8 times.
'close' was found 15 times.
'closed' was found 7 times.
'closely' was found 2 times.
'closer' was found 3 times.
'closest' was found 2 times.
'closing' was found 1 times.
'clothed' was found 2 times.
'clothes' was found 5 times.
'clothing' was found 1 times.
